,Statement 1,Statement 2,label,llm_class
426,outpaced currency black market exchange rate [40],weakening economic environment [309],non_causal,causal
427,IT market expansion [345],unable to stay competitive globally [89],non_causal,causal
428,increasing government and political stability [64],less profits for businesses [223],non_causal,causal
429,increased dependency on devices (e.g. IoT) [18],reduced income [230],non_causal,causal
430,decreased tourism [175],lower international reserves to GDP ratio [46],non_causal,causal
431,increase in bribery [137],decreased use of government forces for domestic control [320],non_causal,causal
432,increased local protectionism [239],clients willing to adopt new platforms at better rates [358],non_causal,causal
433,reduction in business investment [138],increase in innovative funding [155],non_causal,causal
434,increases in dependability on devices [169],decrease in taxes [102],non_causal,causal
435,temporarily loss of business [314],changing market driving the needs for new business model [15],non_causal,causal
436,increased irregular geological data [315],competitive FX rate benefits net exporter country [49],non_causal,causal
437,dumping by foreign firms at prices below cost [257],increase in tourism [371],non_causal,causal
438,decreasing trade deficit or increasing surplus [28],IT niche competitors operation offshore [348],non_causal,causal
439,reduced demand for commodity [92],market disruptors [168],non_causal,causal
440,increase in innovative funding [155],drastic increase in taxes [194],non_causal,causal
441,increased irregular geological data [315],unfavorable law passed [135],non_causal,causal
442,decreased business productivity [270],increased demand for commodity [215],non_causal,causal
443,decreased use of government forces for domestic control [320],less government protection and funding of domestic firms [119],non_causal,causal
444,less startups and new businesses [248],natural disasters [305],non_causal,non_causal
445,increase in investment by businesses [187],decreased talent in workforce [115],non_causal,causal
446,fair allocation of government budget [68],decreased cost of transportation (oil) [96],non_causal,causal
447,promote local business and foreign investment [263],increased capital controls [193],non_causal,causal
448,disadvantaged FX rate hurts net importer country [396],increases in dependability on devices [169],non_causal,causal
449,reduced regulations and production quotas on commodities [122],disadvantaged FX rate hurts net importer country [396],non_causal,causal
450,lack of respect for authority [196],low inflation [27],non_causal,causal
451,natural disaster reduces availability of commodity [217],favorable official(political figurehead) or party elected [262],non_causal,causal
452,reduced tax incentives [404],lower revenue for multinational companies [43],non_causal,causal
453,increase in taxes [181],promote local business and foreign investment [263],non_causal,causal
454,restrictions to clients to expand their businesses infrastructure [252],substituting or adjacent industries prevailing [94],non_causal,causal
455,promote local business [240],substituting or adjacent industries prevailing [94],non_causal,causal
456,increased motivation for entrepreneurs [109],increased competition [166],non_causal,causal
457,increased government IT spending [332],lower aggregate supply [176],non_causal,causal
458,increase in personal identify theft attacks [212],unfavorable law passed [135],non_causal,causal
459,decreased government spending [174],outpaced currency black market exchange rate [40],non_causal,causal
460,unfavorable uses of data by providers and businesses [213],increased talent in workforce [77],non_causal,causal
461,call for new social programs [228],"increased speed efficiency, and lower cost [11]",non_causal,causal
462,decrease in data privacy regulations [297],reduced tax incentives [404],non_causal,causal
463,change in business strategy to meet a changing demand [296],increase in corruption [136],non_causal,causal
464,growing tax revenue [324],decrease in consumer and investor spending [108],non_causal,causal
465,increase in bribery [137],self sufficiency to protect from being too exposed (global recession) [261],non_causal,causal
466,increased risk of cyber attacks [19],offshore services become advantageous [82],non_causal,causal
467,improved competitiveness [30],reduced demand for commodity [92],non_causal,causal
468,increased irregular tide and current and wave data (patterns) [318],decreased investor and consumer confidence [198],non_causal,causal
469,increased supplier competition around commodity [95],cheaper FX rate benefits net importer country [32],non_causal,causal
470,competitive FX rate benefits net exporter country [49],decreased tourism [175],non_causal,causal
471,decreased government spending [174],favorable official(political figurehead) or party elected [262],non_causal,causal
472,decrease in price of commodity [91],"government open to foreign IT support, regulations in place [379]",non_causal,causal
473,increased cost of transportation (oil) [219],"decrease in government spending (infrastructure, education, public benefits) [114]",non_causal,causal
474,dumping by foreign firms at prices below cost [257],lower aggregate supply [176],non_causal,causal
475,currency depreciation against US dollar [39],increased irregular geological data [315],non_causal,causal
476,decreased government spending [174],lack of respect for authority [196],non_causal,causal
477,increasing government and political stability [64],changing market driving the needs for new business model [15],non_causal,causal
478,change in business strategy to meet a changing demand [296],disadvantaged FX rate hurts net importer country [396],non_causal,causal
479,increasing government and political stability [64],lower profits for local and multinational businesses [101],non_causal,causal
480,higher aggregate supply [184],decreased business productivity [270],non_causal,causal
481,change in consumer interest and needs [283],easy to repatriate cash [62],non_causal,causal
482,changing market driving the needs for new business model [15],decreased government spending [174],non_causal,causal
483,self sufficiency to protect from being too exposed (global recession) [261],radical political party or official elected [195],non_causal,causal
484,decreased business productivity [270],protecting large declining or bankrupt industries [242],non_causal,causal
485,increase cost of burden on multinational data providers [200],increased supplier competition around commodity [95],non_causal,causal
486,employee safety [311],maturity of ecosystem and business partners [291],non_causal,causal
487,self sufficiency to protect from being too exposed (global recession) [261],decreased talent in workforce [115],non_causal,causal
488,exchange rate outlook is negative [42],decreased local protectionism [118],non_causal,causal
489,strict environmental regulation [250],promote local business [240],non_causal,causal
490,increased government IT spending [332],increased cyber attacks [210],non_causal,causal
491,decreased local protectionism [118],increase consumer spending [112],non_causal,causal
492,new competitors [2],increased dependency on devices (e.g. IoT) [18],non_causal,causal
493,increase in bribery [137],increase in movement of tectonic plates [317],non_causal,causal
494,dumping by foreign firms at prices below cost [257],technology products reducing in price [158],non_causal,causal
495,request positive balance of trade [368],protecting large declining or bankrupt industries [242],non_causal,causal
496,disruptive technologies [152],increased motivation for businesses to outsource work [236],non_causal,causal
497,reduced regulations and production quotas on commodities [122],exchange outlook is positive [29],non_causal,causal
498,weakening economic environment [309],foreign data providers dominate market [208],non_causal,causal
499,increased irregular weather data (patterns) [316],increase in possibility of FCPA violation [189],non_causal,causal
500,country in state of war [226],higher international reserves [384],non_causal,causal
501,commoditizing of specific technologies [157],potential innovation for substitute or less expensive product [222],non_causal,causal
502,local corporations purchasing power increase [335],exchange outlook is positive [29],non_causal,causal
503,higher revenue for multinational companies [23],change in consumer interest and needs [283],non_causal,causal
504,decrease in corruption [59],temporarily loss of business [314],non_causal,causal
505,currency appreciation against US dollar [22],decreasing government and political stability [131],non_causal,causal
506,decreased tourism [175],increased competition [166],non_causal,causal
507,low price levels of goods and services [26],higher unemployment rates for domestic unskilled workers [237],non_causal,causal
508,increased motivation for businesses to outsource work [236],decreased government spending [174],non_causal,causal
509,decreased cost of doing business [97],high geographic disaster exposure [319],non_causal,causal
510,prolonged economic decline (recession) [106],decreasing trade deficit or increasing surplus [28],non_causal,causal
511,decrease in corruption [59],protecting infant industries [245],non_causal,causal
512,lower demand for USD [25],decrease in possibility of FCPA violation [65],non_causal,causal
513,promote local business and foreign investment [263],increase in tourism [371],non_causal,causal
514,change in business strategy [161],increased government spending [183],non_causal,causal
515,cost of connecting decreases [159],increases in dependability on devices [169],non_causal,causal
516,lack of consumer confidence in data providers [209],maturity of ecosystem and business partners [291],non_causal,causal
517,regulators agreement to raise the group's production quota [93],new competitors [2],non_causal,causal
518,decrease in corruption [59],talent migrate to other countries [353],non_causal,causal
519,favorable law passed [72],increase in price of commodity [214],non_causal,causal
520,decreased use of government forces for domestic control [320],unfavorable law passed [135],non_causal,causal
521,weakening economic environment [309],increased local protectionism [239],non_causal,causal
522,decreasing trade deficit or surplus [185],increase in movement of tectonic plates [317],non_causal,non_causal
523,lower revenue for multinational companies [43],regulators agreement to raise the group's production quota [93],non_causal,causal
524,low price levels of goods and services [26],increased interest rate [329],non_causal,causal
525,self sufficiency to protect from being too exposed (global recession) [261],unfavorable official(political figurehead) or party elected [134],non_causal,causal
526,rising unemployment rates [173],increased government spending [183],non_causal,causal
527,offshore services become advantageous [82],reduced tax incentives [404],non_causal,causal
528,increased irregular tide and current and wave data (patterns) [318],decrease in consumer and investor spending [108],non_causal,causal
529,IT industries funding local initiatives [352],increase in tourism [371],non_causal,causal
530,regulators agreement to raise the group's production quota [93],restriction to operate with resources from foreign countries [366],non_causal,causal
531,increase in possibility of FCPA violation [189],IT niche competitors operation offshore [348],non_causal,causal
532,increase in personal identify theft attacks [212],reduced income [230],non_causal,causal
533,increased talent in workforce [77],growing respect for authority [70],non_causal,causal
534,discouraged consumer and business behavior [229],lower international reserves to GDP ratio [46],non_causal,causal
535,able to analyze market and consumers better [83],regulations allow and support slow decline [243],non_causal,causal
536,increased investor and consumer confidence [73],IT industries funding local initiatives [352],non_causal,causal
537,increase in innovative funding [155],increased revenue for businesses [113],non_causal,causal
538,increased cost of doing business [220],favorable law passed [72],non_causal,causal
539,unfavorable official(political figurehead) or party elected [134],cost of connecting decreases [159],non_causal,causal
540,decreased use of government forces for domestic control [320],reduced income [230],non_causal,causal
541,capital controls (currency volatility) [52],increases exposure to potential security threats [170],non_causal,causal
542,substituting or adjacent industries prevailing [94],decreased tariffs on foreign firms [124],non_causal,causal
543,decrease in possibility of FCPA violation [65],decreased business productivity [270],non_causal,causal
544,decrease in social expenditure [321],local corporations purchasing power increase [335],non_causal,causal
545,growing tax revenue [324],low inflation [27],non_causal,causal
546,increased programs in support of international trade [127],increases in dependability on devices [169],non_causal,causal
547,higher revenue for multinational companies [23],competitive FX rate benefits net exporter country [49],non_causal,causal
548,favorable official(political figurehead) or party elected [262],increase in corruption [136],non_causal,causal
549,"government open to foreign IT support, regulations in place [379]",cost of connecting decreases [159],non_causal,causal
550,reduced tourism [272],increase in investment by businesses [187],non_causal,causal
551,local business motivated to cut cost to be more competitive on global market [387],increasing number of multinational players [300],non_causal,causal
552,increase ability for smaller domestic providers to become competitive [205],increased competition [166],non_causal,causal
553,reduction in business investment [138],increased tariffs on foreign firms [247],non_causal,causal
554,higher aggregate supply [184],lower domestic demand [50],non_causal,causal
555,change in business strategy to meet a changing demand [296],increase in bribery [137],non_causal,causal
556,maturity of ecosystem and business partners [291],increased government spending [183],non_causal,causal
557,decreased government spending [174],radical political party or official elected [195],non_causal,causal
558,currency appreciation against US dollar [22],business or supplier disruption [306],non_causal,causal
559,increasing trade deficit [45],fair justice system [69],non_causal,non_causal
560,market disruptors [168],lower unemployment rates [180],non_causal,causal
561,increase consumer spending [112],lower revenue for multinational companies [43],non_causal,causal
562,increased programs in support of international trade [127],increased government spending [183],non_causal,causal
563,increased cost of transportation (oil) [219],increasing debt levels [47],non_causal,causal
564,IT industries funding local initiatives [352],lower aggregate supply [176],non_causal,causal
565,reduced income [230],technology products reducing in price [158],non_causal,causal
566,increased talent in workforce [77],untapped market for data providers to enter [80],non_causal,causal
567,increased irregular tide and current and wave data (patterns) [318],decreased talent in workforce [115],non_causal,causal
568,lower unemployment rates [180],increase in personal identify theft attacks [212],non_causal,causal
569,clients willing to adopt new platforms at better rates [358],regulators agreement to raise the group's production quota [93],non_causal,causal
570,increased threat of terrorism [211],less government protection and funding of domestic firms [119],non_causal,causal
571,potential innovation for substitute or less expensive product [222],temporarily loss of business [314],non_causal,causal
572,decrease in possibility of FCPA violation [65],lack of consumer confidence in data providers [209],non_causal,causal
573,increased risk of cyber attacks [19],increased supplier competition around commodity [95],non_causal,causal
574,unfavorable uses of data by providers and businesses [213],currency depreciation against US dollar [39],non_causal,causal
575,rapid technological change [292],technology products reducing in price [158],non_causal,causal
576,improving social order [76],local corporations purchasing power increase [335],non_causal,causal
577,unfavorable official(political figurehead) or party elected [134],potential innovation for substitute or less expensive product [222],non_causal,causal
578,shrinking tax income [331],high geographic disaster exposure [319],non_causal,causal
579,lack of respect for authority [196],increase in personal identify theft attacks [212],non_causal,causal
580,unfair allocation of government budget [133],increased local protectionism [239],non_causal,causal
581,decrease in social expenditure [321],increased foreign talent immigration [360],non_causal,causal
582,reduced income [230],favorable law passed [72],non_causal,causal
583,lower revenue for multinational companies [43],decreased investment by businesses [178],non_causal,causal
584,lower unemployment rates [180],more effective and less expensive methods or techniques for getting commodity [99],non_causal,causal
585,increase in social expenditure [327],decreasing government and political stability [131],non_causal,causal
586,cost of connecting decreases [159],increase consumer spending [112],non_causal,causal
587,allows for a fair playing ground for all firms [120],request positive balance of trade [368],non_causal,causal
588,increased local protectionism [239],increasing government and political stability [64],non_causal,causal
589,call for new social programs [228],demand for more IT infrastructure [372],non_causal,causal
590,reduced tax incentives [404],increased business investment and opportunity [179],non_causal,causal
591,increased cyber attacks [210],increased motivation for entrepreneurs [109],non_causal,causal
592,local corporations purchasing power increase [335],disadvantaged FX rate hurts net exporter country [36],non_causal,causal
593,increased revenue for businesses [113],increase in movement of tectonic plates [317],non_causal,non_causal
594,unable to stay competitive globally [89],lower unemployment rates [180],non_causal,causal
595,increased irregular geological data [315],lagging behind in technological wave [130],non_causal,causal
596,increased innovative culture [110],regulations allow and support slow decline [243],non_causal,causal
597,favorable official(political figurehead) or party elected [262],regulators agreement to reduce the production quota [216],non_causal,causal
598,foreign data providers dominate market [208],decrease in price of commodity [91],non_causal,causal
599,uneven distribution of wealth [197],less government protection and funding of domestic firms [119],non_causal,causal
600,growing social tension [103],business or supplier disruption [306],non_causal,causal
601,higher international reserves [384],improving social order [76],non_causal,causal
602,IT market deceleration or downsize [354],increased dependency on devices (e.g. IoT) [18],non_causal,causal
603,increased investor and consumer confidence [73],radical political party or official elected [195],non_causal,causal
604,increased foreign direct investment [31],increased risk of cyber attacks [19],non_causal,causal
605,weakening economic environment [309],unfair allocation of government budget [133],non_causal,causal
606,higher aggregate supply [184],"government open to foreign IT support, regulations in place [379]",non_causal,causal
607,increased demand for commodity [215],growing tax revenue [324],non_causal,causal
608,growing respect for authority [70],increase consumer spending [112],non_causal,causal
609,more effective and less expensive methods or techniques for getting commodity [99],unfair justice system [132],non_causal,causal
610,restrictions to clients to expand their businesses infrastructure [252],lower aggregate supply [176],non_causal,causal
611,promote local business and foreign investment [263],increase consumer spending [112],non_causal,causal
612,change in consumer interest and needs [283],regulators agreement to raise the group's production quota [93],non_causal,causal
613,government trying to stimulate economy [90],increased cost of doing business [220],non_causal,causal
614,technology products reducing in price [158],high inflation [41],non_causal,non_causal
615,increase in movement of tectonic plates [317],increased competition [166],non_causal,causal
616,government trying to stimulate economy [90],increased government IT spending [332],non_causal,causal
617,commoditizing of specific technologies [157],decreasing government and political stability [131],non_causal,causal
618,less startups and new businesses [248],promote exports [258],non_causal,causal
619,increasing debt levels [47],increase consumer spending [112],non_causal,causal
620,promote local business and foreign investment [263],higher unemployment rates for domestic unskilled workers [237],non_causal,causal
621,technology products reducing in price [158],increases exposure to potential security threats [170],non_causal,causal
622,higher unemployment rates for domestic unskilled workers [237],clients willing to adopt new platforms at better rates [358],non_causal,causal
623,increased motivation for businesses to outsource work [236],lower demand for USD [25],non_causal,causal
624,increase in price of commodity [214],decreasing trade deficit or surplus [185],non_causal,causal
625,promote local business [240],favorable law passed [72],non_causal,causal
626,unfavorable uses of data by providers and businesses [213],increasing government and political stability [64],non_causal,non_causal
627,talent migrate to other countries [353],IT market expansion [345],non_causal,causal
628,decreased business productivity [270],increased demand for commodity [215],non_causal,causal
629,increased dependency on devices (e.g. IoT) [18],increase in movement of tectonic plates [317],non_causal,non_causal
630,lower international reserves to GDP ratio [46],decreased cost of doing business [97],non_causal,causal
631,dumping by foreign firms at prices below cost [257],increasing government and political stability [64],non_causal,causal
632,increased risk of cyber attacks [19],increased talent in workforce [77],non_causal,causal
633,untapped market for data providers to enter [80],increase in social expenditure [327],non_causal,causal
634,increased cost of transportation (oil) [219],restriction to operate with resources from foreign countries [366],non_causal,causal
635,high geographic disaster exposure [319],reduced income [230],non_causal,causal
636,low inflation [27],unfavorable law passed [135],non_causal,causal
637,liberal politician or party elected [227],increased risk of cyber attacks [19],non_causal,causal
638,increased foreign direct investment [31],clients and potential clients need help to comply with privacy [201],non_causal,causal
639,increasing number of multinational players [300],"increase in government spending (infrastructure, education, public benefits) [75]",non_causal,causal
640,regulations allow and support slow decline [243],unfavorable law passed [135],non_causal,causal
641,country in state of war [226],minimum or no black market FX rate [383],non_causal,causal
642,increased irregular tide and current and wave data (patterns) [318],shrinking tax income [331],non_causal,causal
643,increase in bribery [137],increased motivation for businesses to outsource work [236],non_causal,causal
644,conservative politician elected [104],restrictions to clients to expand their businesses infrastructure [252],non_causal,causal
645,protecting infant industries [245],restriction to operate with resources from foreign countries [366],non_causal,causal
646,decreased cost of doing business [97],market disruptors [168],non_causal,causal
647,prolonged economic growth (boom) [225],lower profits for local and multinational businesses [101],non_causal,causal
648,dumping by foreign firms at prices below cost [257],drastic increase in taxes [194],non_causal,causal
649,increased local protectionism [239],looser capital controls [60],non_causal,causal
650,decreased government spending [174],temporarily loss of business [314],non_causal,causal
651,over reliance on international trade [259],increased capital controls [193],non_causal,causal
652,more profits for businesses [224],increase in infrastructure in 3rd world countries [298],non_causal,causal
653,decrease in price of commodity [91],reduced tourism [272],non_causal,causal
654,lower unemployment rates [180],increased cost of transportation (oil) [219],non_causal,causal
655,reduced tourism [272],growing tax revenue [324],non_causal,causal
656,restrictions to clients to expand their businesses infrastructure [252],increases exposure to potential security threats [170],non_causal,causal
657,unfavorable uses of data by providers and businesses [213],increase in corruption [136],non_causal,causal
658,increased cost of transportation (oil) [219],weakening economic environment [309],non_causal,causal
659,rapid technological change [292],increased capital controls [193],non_causal,causal
660,unfavorable official(political figurehead) or party elected [134],increase in personal identify theft attacks [212],non_causal,causal
661,increased business investment and opportunity [179],rising unemployment rates [173],non_causal,causal
662,fair allocation of government budget [68],increase in price of commodity [214],non_causal,causal
663,decreased business productivity [270],business or supplier disruption [306],non_causal,causal
664,increased interest rate [329],increased local protectionism [239],non_causal,causal
665,able to analyze market and consumers better [83],conservative politician elected [104],non_causal,causal
666,increase in tourism [371],increased irregular geological data [315],non_causal,causal
667,decreasing government and political stability [131],increasing size of IT market [301],non_causal,causal
668,lack of business investment and opportunities [172],untapped market for data providers to enter [80],non_causal,causal
669,request positive balance of trade [368],dumping by foreign firms at prices below cost [257],non_causal,causal
670,increasing number of multinational players [300],lack of respect for authority [196],non_causal,causal
671,increased dependency on devices (e.g. IoT) [18],decreasing debt levels [107],non_causal,causal
672,increases exposure to potential security threats [170],reduction in business investment [138],non_causal,causal
673,protecting infant industries [245],disruptive technologies [152],non_causal,causal
674,excessive use of government forces for domestic control [326],conservative politician elected [104],non_causal,causal
675,increase in unemployment [403],easy to repatriate cash [62],non_causal,causal
676,increased cyber attacks [210],weakening economic environment [309],non_causal,causal
677,clients and potential clients need help to comply with privacy [201],strict environmental regulation [250],non_causal,causal
678,potential innovation for substitute or less expensive product [222],increased business investment and opportunity [179],non_causal,causal
679,decreased investment by businesses [178],decrease in corruption [59],non_causal,causal
680,business or supplier disruption [306],increased demand for commodity [215],non_causal,causal
681,decreased investor and consumer confidence [198],increased irregular tide and current and wave data (patterns) [318],non_causal,causal
682,increase in tourism [371],regulators agreement to reduce the production quota [216],non_causal,causal
683,increasing number of IT players [299],reduced demand for commodity [92],non_causal,causal
684,radical political party or official elected [195],increase in possibility of FCPA violation [189],non_causal,causal
685,increased programs in support of international trade [127],increased competition [166],non_causal,causal
686,unfair justice system [132],untapped market for data providers to enter [80],non_causal,causal
687,looser capital controls [60],radical political party or official elected [195],non_causal,causal
688,increased interest rate [329],broadband Internet becoming more widely available [154],non_causal,causal
689,market disruptors [168],decreased government spending [174],non_causal,causal
690,decreased business productivity [270],able to analyze market and consumers better [83],non_causal,causal
691,self sufficiency to protect from being too exposed (global recession) [261],domestic firms have comparative advantage [246],non_causal,causal
692,more profits for businesses [224],decreased investment by businesses [178],non_causal,causal
693,increasing budget deficit [328],request positive balance of trade [368],non_causal,causal
694,increased revenue for businesses [113],decreasing government and political stability [131],non_causal,causal
695,increase cost of burden on multinational data providers [200],reduced risk of net exposed position and local currency deals [343],non_causal,causal
696,regulators agreement to reduce the production quota [216],natural disasters [305],non_causal,causal
697,increasing number of multinational players [300],restriction to operate with resources from foreign countries [366],non_causal,causal
698,increase in personal identify theft attacks [212],"increased speed efficiency, and lower cost [11]",non_causal,causal
699,increase in investment by businesses [187],increased irregular geological data [315],non_causal,causal
700,restrictions to clients to expand their businesses infrastructure [252],uneven distribution of wealth [197],non_causal,causal
701,government trying to stimulate economy [90],lower profits for local and multinational businesses [101],non_causal,causal
702,reduced demand for commodity [92],more profits for businesses [224],non_causal,causal
703,lower aggregate supply [176],favorable official(political figurehead) or party elected [262],non_causal,causal
704,excessive use of government forces for domestic control [326],"increased speed efficiency, and lower cost [11]",non_causal,causal
705,lack of business investment and opportunities [172],IT market expansion [345],non_causal,causal
706,lower domestic demand [50],restriction to operate with resources from foreign countries [366],non_causal,causal
707,reduction in business investment [138],increase in tourism [371],non_causal,causal
708,increasing debt levels [47],decreased investor and consumer confidence [198],non_causal,causal
709,market disruptors [168],growing tax revenue [324],non_causal,causal
710,higher revenue for multinational companies [23],decreased tariffs on foreign firms [124],non_causal,causal
711,"increased speed efficiency, and lower cost [11]",increased local protectionism [239],non_causal,causal
712,increasing government and political stability [64],outpaced currency black market exchange rate [40],non_causal,causal
713,promote local business [240],able to analyze market and consumers better [83],non_causal,causal
714,rapid technological change [292],exchange outlook is positive [29],non_causal,causal
715,higher demand for partnerships (joint ventures) [254],increased ability to facilitate peer to peer transactions [285],non_causal,causal
716,strengthening economic environment [58],local business motivated to cut cost to be more competitive on global market [387],non_causal,causal
717,promote local business [240],cost of connecting decreases [159],non_causal,causal
718,foreign data providers dominate market [208],increase in tourism [371],non_causal,causal
719,higher aggregate demand [182],increased talent in workforce [77],non_causal,non_causal
720,strengthening economic environment [58],increased cost of doing business [220],non_causal,causal
721,"increase in government spending (infrastructure, education, public benefits) [75]",employee safety [311],non_causal,causal
722,dumping by foreign firms at prices below cost [257],broadband Internet becoming more widely available [154],non_causal,causal
723,cheaper FX rate benefits net importer country [32],increasing government and political stability [64],non_causal,causal
724,increase in innovative funding [155],decreasing government and political stability [131],non_causal,causal
725,reduced regulations and production quotas on commodities [122],increased motivation for entrepreneurs [109],non_causal,causal
726,looser capital controls [60],increase in corruption [136],non_causal,causal
727,untapped market for data providers to enter [80],lower domestic demand [50],non_causal,causal
728,discouraged consumer and business behavior [229],increased investor and consumer confidence [73],non_causal,causal
729,decreasing debt levels [107],increased interest rate [329],non_causal,causal
730,increased demand for commodity [215],decreased tariffs on foreign firms [124],non_causal,causal
731,increased foreign talent immigration [360],government trying to stimulate economy [90],non_causal,causal
732,regulators agreement to reduce the production quota [216],IT niche competitors operation offshore [348],non_causal,causal
733,rising unemployment rates [173],substituting or adjacent industries prevailing [94],non_causal,causal
734,exchange outlook is positive [29],disruptive technologies [152],non_causal,causal
735,digital economies growing [160],restrictions to clients to expand their businesses infrastructure [252],non_causal,causal
736,increased talent in workforce [77],increase in data privacy regulations [20],non_causal,causal
737,more effective and less expensive methods or techniques for getting commodity [99],strict environmental regulation [250],non_causal,causal
738,"increase in government spending (infrastructure, education, public benefits) [75]",increase in infrastructure in 3rd world countries [298],non_causal,causal
739,increase in infrastructure in 3rd world countries [298],increased ability to facilitate peer to peer transactions [285],non_causal,causal
740,decreased tariffs on foreign firms [124],discouraged consumer and business behavior [229],non_causal,causal
741,lower unemployment rates [180],outpaced currency black market exchange rate [40],non_causal,causal
742,"increase in government spending (infrastructure, education, public benefits) [75]",local corporations purchasing power increase [335],non_causal,causal
743,increase ability for smaller domestic providers to become competitive [205],reduced tourism [272],non_causal,causal
744,cheaper FX rate benefits net importer country [32],higher demand for partnerships (joint ventures) [254],non_causal,causal
745,cheaper FX rate benefits net importer country [32],lower profits for local and multinational businesses [101],non_causal,causal
746,fair justice system [69],increase in social expenditure [327],non_causal,causal
747,higher international reserves [384],decreased use of government forces for domestic control [320],non_causal,causal
748,increased capital controls [193],reduced risk of net exposed position and local currency deals [343],non_causal,causal
749,unfavorable official(political figurehead) or party elected [134],outpaced currency black market exchange rate [40],non_causal,causal
750,lagging behind in technological wave [130],decreased government spending [174],non_causal,causal
751,decrease in price of commodity [91],increased talent in workforce [77],non_causal,causal
752,unfair justice system [132],unable to stay competitive globally [89],non_causal,causal
753,higher revenue for multinational companies [23],increasing trade deficit [45],non_causal,causal
754,domestic firms have comparative advantage [246],radical political party or official elected [195],non_causal,non_causal
755,broadband Internet becoming more widely available [154],increased irregular weather data (patterns) [316],non_causal,causal
756,minimum or no black market FX rate [383],decreased investor and consumer confidence [198],non_causal,causal
757,changing market driving the needs for new business model [15],radical political party or official elected [195],non_causal,causal
758,promote exports [258],foreign data providers dominate market [208],non_causal,causal
759,drastic increase in taxes [194],"increased speed efficiency, and lower cost [11]",non_causal,causal
760,increase in social expenditure [327],increased capital controls [193],non_causal,causal
761,improving social order [76],rapid technological change [292],non_causal,causal
762,local business motivated to cut cost to be more competitive on global market [387],decreased government spending [174],non_causal,causal
763,"XaaS and digital platforms shorten distribution chain, connecting end users with main service and IT provider directly [378]",increased investor and consumer confidence [73],non_causal,causal
764,lower revenue for multinational companies [43],higher international reserves [384],non_causal,causal
765,high inflation [41],allows for a fair playing ground for all firms [120],non_causal,non_causal
766,decreased talent in workforce [115],decreased foreign direct investment [88],non_causal,causal
767,unfavorable law passed [135],increased demand for commodity [215],non_causal,causal
768,decreased talent in workforce [115],decreased local protectionism [118],non_causal,causal
769,"government open to foreign IT support, regulations in place [379]",increase ability for smaller domestic providers to become competitive [205],non_causal,causal
770,increased demand for commodity [215],IT market expansion [345],non_causal,causal
771,promote local business and foreign investment [263],increasing number of IT players [299],non_causal,causal
772,more startups and new businesses [126],decreased government spending [174],non_causal,causal
773,increased foreign talent immigration [360],increasing trade deficit [45],non_causal,causal
774,increased demand for commodity [215],regulators agreement to reduce the production quota [216],non_causal,causal
775,rapid technological change [292],increasing number of IT players [299],non_causal,causal
776,decreased cost of transportation (oil) [96],increased tariffs on foreign firms [247],non_causal,causal
777,increase in data privacy regulations [20],high geographic disaster exposure [319],non_causal,non_causal
778,promote local business and foreign investment [263],self sufficiency to protect from being too exposed (global recession) [261],non_causal,causal
779,broadband Internet becoming more widely available [154],IT market deceleration or downsize [354],non_causal,causal
780,increasing budget deficit [328],growing tax revenue [324],non_causal,causal
781,more profits for businesses [224],increased capital controls [193],non_causal,causal
782,lower international reserves to GDP ratio [46],increased talent in workforce [77],non_causal,causal
783,promote exports [258],easy to repatriate cash [62],non_causal,causal
784,reduced tax incentives [404],decreased foreign direct investment [88],non_causal,causal
785,unfair allocation of government budget [133],self sufficiency to protect from being too exposed (global recession) [261],non_causal,causal
786,market disruptors [168],decreased tourism [175],non_causal,causal
787,increased interest rate [329],higher revenue for multinational companies [23],non_causal,causal
788,increases in dependability on devices [169],increase cost of burden on multinational data providers [200],non_causal,causal
789,controls to repatriate cash [53],clients and potential clients need help to comply with privacy [201],non_causal,causal
790,decreased investor and consumer confidence [198],higher profits for local and multinational businesses [100],non_causal,causal
791,country in state of war [226],fair justice system [69],non_causal,causal
792,shrinking tax income [331],increased motivation for businesses to outsource work [236],non_causal,causal
793,decrease in consumer and investor spending [108],lack of consumer confidence in data providers [209],non_causal,causal
794,changing market driving the needs for new business model [15],less government protection and funding of domestic firms [119],non_causal,causal
795,decreasing government and political stability [131],reduced demand for commodity [92],non_causal,causal
796,increase in personal identify theft attacks [212],able to analyze market and consumers better [83],non_causal,causal
797,increased ability to facilitate peer to peer transactions [285],decrease in data privacy regulations [297],non_causal,causal
798,decreased government spending [174],change in business strategy to meet a changing demand [296],non_causal,causal
799,increased interest rate [329],increase in possibility of FCPA violation [189],non_causal,causal
800,increasing size of IT market [301],substituting or adjacent industries prevailing [94],non_causal,causal
801,local business motivated to cut cost to be more competitive on global market [387],decreased talent in workforce [115],non_causal,causal
802,increased motivation for entrepreneurs [109],decrease in data privacy regulations [297],non_causal,causal
803,decreased local protectionism [118],higher aggregate demand [182],non_causal,causal
